epoch,step,train_loss,val_loss
0,3,,7.088009834289551
1,7,,6.980329513549805
2,11,,6.873286724090576
3,15,,6.763792991638184
4,19,,6.652364730834961
5,23,,6.5393829345703125
6,27,,6.423534393310547
7,31,,6.304303169250488
8,35,,6.182922840118408
9,39,,6.059012413024902
10,43,,5.928643226623535
11,47,,5.790200233459473
12,49,5.123978614807129,
12,51,,5.64506721496582
13,55,,5.493308067321777
14,59,,5.337904453277588
15,63,,5.177761077880859
16,67,,5.013886451721191
17,71,,4.845633506774902
18,75,,4.675442218780518
19,79,,4.502102375030518
20,83,,4.32658576965332
21,87,,4.147983074188232
22,91,,3.965214729309082
23,95,,3.78226900100708
24,99,3.832791328430176,
24,99,,3.6035776138305664
25,103,,3.4247937202453613
26,107,,3.2516937255859375
27,111,,3.0781168937683105
28,115,,2.909754991531372
29,119,,2.7438769340515137
30,123,,2.5877156257629395
31,127,,2.4404456615448
32,131,,2.3009603023529053
33,135,,2.1681723594665527
34,139,,2.0462899208068848
35,143,,1.9357764720916748
36,147,,1.8395479917526245
37,149,1.12422776222229,
37,151,,1.753567099571228
38,155,,1.677748680114746
39,159,,1.6125770807266235
40,163,,1.5566350221633911
41,167,,1.510064959526062
42,171,,1.475342869758606
43,175,,1.4471651315689087
44,179,,1.4226356744766235
45,183,,1.403159260749817
46,187,,1.3875714540481567
47,191,,1.3741483688354492
48,195,,1.3638432025909424
49,199,1.1821221113204956,
49,199,,1.3562867641448975
50,203,,1.3518354892730713
51,207,,1.348174810409546
52,211,,1.345637321472168
53,215,,1.3422842025756836
54,219,,1.338697075843811
55,223,,1.3370168209075928
56,227,,1.3354541063308716
57,231,,1.3340294361114502
58,235,,1.3334826231002808
59,239,,1.332694411277771
60,243,,1.3328733444213867
61,247,,1.3325893878936768
62,249,0.8954551219940186,
62,251,,1.3320503234863281
63,255,,1.3317453861236572
64,259,,1.3307373523712158
65,263,,1.3296910524368286
66,267,,1.3298754692077637
67,271,,1.3291881084442139
68,275,,1.3302947282791138
69,279,,1.3297691345214844
70,283,,1.329880714416504
71,287,,1.3300141096115112
72,291,,1.3286993503570557
73,295,,1.328216791152954
74,299,0.8050915598869324,
74,299,,1.3277921676635742
75,303,,1.3275465965270996
76,307,,1.327081322669983
77,311,,1.3267019987106323
78,315,,1.325987458229065
79,319,,1.3263356685638428
80,323,,1.3266485929489136
81,327,,1.3276536464691162
82,331,,1.3282470703125
83,335,,1.3272922039031982
