name,config_hash,compute_class,model,featurizer,dataset,dataset_rows,tier,cost_key
cal_000_370f5b1ce134b38d,370f5b1ce134b38d,gpu,GNN,HELMGraph,asoptimizer_cleaned,32602.0,L,32
cal_001_f91d0ffe79ffa2eb,f91d0ffe79ffa2eb,gpu,GNN,HELMGraph,asoptimizer_cleaned,32602.0,L,64
cal_002_4945d707698d0559,4945d707698d0559,cpu,LinearModel,KMersCounts,asoptimizer_cleaned,32602.0,L,"""ridge"""
cal_003_363b7ee420e2b799,363b7ee420e2b799,cpu,LinearModel,KMersCounts,asoptimizer_cleaned,32602.0,L,"""standard"""
cal_004_067525c065007138,067525c065007138,gpu,MLP,KMersCounts,asoptimizer_cleaned,32602.0,L,[64]
cal_005_95e7ef8174a0a2a3,95e7ef8174a0a2a3,gpu,MLP,KMersCounts,asoptimizer_cleaned,32602.0,L,"[64, 64]"
cal_006_8ae5ac8cb127da93,8ae5ac8cb127da93,gpu,MLP,KMersCounts,asoptimizer_cleaned,32602.0,L,"[128, 128]"
cal_007_8f672c13cf88a8e7,8f672c13cf88a8e7,cpu,NearestNeighborsModel,KMersCounts,asoptimizer_cleaned,32602.0,L,5
cal_008_4bc144091dda04dc,4bc144091dda04dc,cpu,NearestNeighborsModel,KMersCounts,asoptimizer_cleaned,32602.0,L,10
cal_009_98a9f208bcdd1461,98a9f208bcdd1461,cpu,NearestNeighborsModel,KMersCounts,asoptimizer_cleaned,32602.0,L,15
cal_010_579a4cd583777e01,579a4cd583777e01,cpu,RandomForestModel,KMersCounts,asoptimizer_cleaned,32602.0,L,100
cal_011_596d5ab199c9d15f,596d5ab199c9d15f,cpu,RandomForestModel,KMersCounts,asoptimizer_cleaned,32602.0,L,500
cal_012_3cadf9e883fcac31,3cadf9e883fcac31,cpu,RandomForestModel,KMersCounts,asoptimizer_cleaned,32602.0,L,1000
cal_013_cef793dd9f6b8a04,cef793dd9f6b8a04,cpu,XGBoostModel,KMersCounts,asoptimizer_cleaned,32602.0,L,100
cal_014_9c326304571d7eab,9c326304571d7eab,cpu,XGBoostModel,KMersCounts,asoptimizer_cleaned,32602.0,L,500
cal_015_1d0b968c92133e0c,1d0b968c92133e0c,cpu,XGBoostModel,KMersCounts,asoptimizer_cleaned,32602.0,L,1000
cal_016_369390878b54c431,369390878b54c431,gpu,CNN,OneHotEncoder,asoptimizer_cleaned,32602.0,L,32
cal_017_8b95d60620a10ddf,8b95d60620a10ddf,gpu,CNN,OneHotEncoder,asoptimizer_cleaned,32602.0,L,64
cal_018_d59d37c0cb9ddb05,d59d37c0cb9ddb05,gpu,GRU,OneHotEncoder,asoptimizer_cleaned,32602.0,L,32
cal_019_b876ed3b111ed41a,b876ed3b111ed41a,gpu,GRU,OneHotEncoder,asoptimizer_cleaned,32602.0,L,64
cal_020_54c5786d05230142,54c5786d05230142,cpu,LinearModel,OneHotEncoder,asoptimizer_cleaned,32602.0,L,"""ridge"""
cal_021_7447ee02d0c53a77,7447ee02d0c53a77,cpu,LinearModel,OneHotEncoder,asoptimizer_cleaned,32602.0,L,"""standard"""
cal_022_12152390e41d10f6,12152390e41d10f6,gpu,MLP,OneHotEncoder,asoptimizer_cleaned,32602.0,L,[64]
cal_023_dc9d432e53db2ff6,dc9d432e53db2ff6,gpu,MLP,OneHotEncoder,asoptimizer_cleaned,32602.0,L,"[64, 64]"
cal_024_a6cfc04bdfde0c77,a6cfc04bdfde0c77,gpu,MLP,OneHotEncoder,asoptimizer_cleaned,32602.0,L,"[128, 128]"
